title,vegetarian,vegan,glutenFree,dairyFree,ingredients,sustainable,veryHealthy,lowFodmap,ketogenic,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Vitamin E/mg,Carbohydrates/g,Magnesium/mg,Cholesterol/mg,Zinc/mg,Sodium/mg,Copper/mg,Sugar/g,Fiber/g,Alcohol/g,Diabetes,High Protein,High Fat,Low Carbohydrate,Obesity,BP,Heart
Fried Anchovies with Sage,0,0,0,1,"anchovies,baking powder,egg,flour,sage leaves,salt,seltzer water,vegetable oil",0,0,0,0,29.0,39.64,25.43,34.93,384.09,10.53,1.09,32.53,73.36,145.28,3.09,955.48,0.43,0.17,1.16,0.0,0,1,0,0,1,1,1
Anchovies Appetizer With Breadcrumbs & Scallions,0,0,0,1,"anchovies,bread,garlic clove,olive oil,scallions",0,0,0,0,4.0,36.52,36.52,26.96,57.07,2.28,0.29,3.79,12.62,12.76,0.46,59.43,0.06,0.5,0.38,0.0,0,1,0,0,1,1,1
"Carrots, Cauliflower And Anchovies",0,0,0,1,"acini di pepe,almonds,anchovies,carrots,cauliflower,extra virgin olive oil,extra-virgin olive oil,lemon juice,rocket,salt and pepper",0,1,0,0,63.0,6.74,66.86,26.4,942.08,72.72,17.01,64.61,122.71,1.92,1.53,296.97,0.41,11.09,9.99,0.0,0,0,1,0,0,1,1
Bap Story: Stir Fried Anchovies (Myulchi Bokkeum),0,0,1,1,"anchovies,baby-back ribs,cooking oil,frying oil,garlic,garlic,ground ginger,pine nuts,plum,rice syrup,rice syrup,sesame seeds,sugar,sprinkle",0,1,0,0,70.0,29.89,64.41,5.7,1697.23,122.21,5.23,24.3,187.05,436.23,17.27,583.67,1.22,14.09,2.1,0.0,1,1,1,1,0,1,1
"Bread, Butter And Anchovies",0,0,0,0,"bread,capers,salted anchovies,unsalted butter",0,0,0,0,1.0,11.01,39.96,49.03,112.75,5.05,0.19,13.95,13.64,10.75,0.34,276.25,0.05,1.71,1.24,0.0,0,0,0,0,1,1,1
Fried Anchovies,0,0,0,1,"anchovies,cayenne pepper,cherry tomatoes,crusty bread,eggs,extra virgin olive oil,flour,olive oil,salt and pepper",0,0,0,0,6.0,9.93,79.28,10.79,356.02,31.47,4.44,9.64,16.55,60.33,0.75,48.39,0.09,0.08,0.35,0.0,1,0,1,1,0,1,1
"Tomato & Anchovies With Bread Crumbs, Basil & Red Onion   Recip",0,0,0,1,"anchovy,basil leaves,bread crumbs,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",0,0,0,0,14.0,12.37,57.91,29.72,142.07,9.24,1.53,10.67,17.32,7.2,0.48,89.34,0.09,2.63,1.37,0.0,0,0,1,0,0,1,1
Marinated Fresh Anchovies: Alici Marinate,0,0,1,1,"fresh anchovies,garlic,olive oil,oregano,parsley,red chile flakes,sea salt,white wine vinegar",0,0,0,0,33.0,45.61,48.71,5.68,221.39,11.29,2.47,2.96,59.22,68.04,2.19,1904.29,0.29,0.27,1.49,0.0,1,1,0,1,1,1,1
Marinated Boquerones,0,0,1,1,"bell pepper,chillies,coarse sea salt,extra-virgin olive oil,fresh anchovies,fresh parsley,fresh thyme,garlic cloves,juice of lemon,sherry vinegar",0,1,0,1,82.0,27.56,62.99,9.45,265.68,18.35,3.75,6.19,49.36,50.0,1.71,287.85,0.21,3.69,1.97,0.0,1,1,1,1,0,1,1
Spaghetti With Walnuts And Anchovies,1,0,0,0,"garlic cloves,pecorino,spaghetti,walnuts",0,0,0,0,45.0,14.07,25.16,60.77,581.03,16.3,0.28,88.56,94.13,8.67,2.43,107.69,0.64,3.61,4.96,0.0,0,0,0,0,1,1,1
Roasted Peppers with Boquerones,0,0,1,1,"boquerones,red bell peppers,sherry vinegar,sugar",0,0,1,0,48.0,20.59,12.53,66.88,32.19,0.44,1.32,5.28,11.53,2.4,0.27,7.54,0.02,3.78,1.72,0.0,0,0,0,0,1,1,1
"Anchovies, Tomatoes And Green Beans Couscous",0,0,0,1,"anchovies,anchovies in extra virgin olive oil,balsamic vinegar,basil,basil,bell pepper,cherry tomatoes,cherry tomatoes,couscous,couscous,extra virgin olive oil,extra-virgin olive oil,green beans,green beans,salad mix,salt,tomatoes,vegetarian bacon",0,1,0,0,100.0,13.78,27.37,58.85,1093.72,33.47,9.18,161.94,190.94,26.22,3.44,1319.18,0.96,21.5,17.86,0.0,0,0,0,0,1,1,1
Sliced Baguette With Radishes And Anchovy Butter,0,0,0,0,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",0,0,0,0,4.0,2.81,87.77,9.42,946.35,94.01,2.82,22.69,23.81,248.83,0.75,487.31,0.15,1.29,1.95,0.0,1,0,1,1,0,1,1
Savory Slow Roasted Tomatoes with Filet of Anchovy,0,0,1,1,"anchovy filets,extra virgin olive oil,fire-roasted tomatoes,herbs,Salt & Pepper,summer squash,sun-dried tomatoes,tomatoes,Top Sirloin,pomodori al forno con le acciughe,remove from oven",0,1,1,0,99.0,47.17,44.21,8.62,479.22,23.3,4.07,10.23,88.36,142.94,9.76,353.64,0.37,6.89,3.11,0.0,1,1,0,1,1,1,1
